ccaa;year;agricultura_pct;industria_pct;construccion_pct;servicios_pct
Navarra, Comunidad Foral De;2010;4,125;25,675;8,05;62,175
Navarra, Comunidad Foral De;2011;2,85;25,325;7,925;63,85
Navarra, Comunidad Foral De;2012;3,575;25,6;6,775;64,05
Navarra, Comunidad Foral De;2013;5,875;26,075;5,55;62,525
Navarra, Comunidad Foral De;2014;4,8;25,475;5,35;64,375
Navarra, Comunidad Foral De;2015;3,575;24,375;6,375;65,625
Navarra, Comunidad Foral De;2016;3,6;25,1;4,6;66,7
Navarra, Comunidad Foral De;2017;3,95;26,9;5,35;63,825
Navarra, Comunidad Foral De;2018;4,2;26,65;6,325;62,875
Navarra, Comunidad Foral De;2019;3,525;25,925;5,575;64,95
Navarra, Comunidad Foral De;2020;3,4;27,15;5,6;63,85
Navarra, Comunidad Foral De;2021;3,1;27,475;6,525;62,9
Navarra, Comunidad Foral De;2022;2,775;25,725;7;64,475
Navarra, Comunidad Foral De;2023;3,45;25,05;5,725;65,7
País Vasco;2010;1,275;22,275;7,525;68,95
País Vasco;2011;1,025;21,925;6,9;70,15
País Vasco;2012;1,275;20,575;6,175;71,925
País Vasco;2013;1,65;20,5;6,5;71,375
País Vasco;2014;1,425;20,2;5,775;72,625
País Vasco;2015;1,275;20,925;5,45;72,35
País Vasco;2016;1,375;22,3;5,425;70,85
País Vasco;2017;1,4;22,925;5,3;70,325
País Vasco;2018;1;21,75;5,425;71,8
País Vasco;2019;1,1;20,35;5,65;72,85
País Vasco;2020;0,925;20,725;5,55;72,775
País Vasco;2021;0,875;21,75;4,925;72,425
País Vasco;2022;1,075;20,575;5,525;72,8
País Vasco;2023;1,075;20,1;5,675;73,125
Rioja, La;2010;4,425;25,4;10,225;59,95
Rioja, La;2011;4,925;24,275;9,975;60,825
Rioja, La;2012;5,5;23,875;9,25;61,375
Rioja, La;2013;7,025;26,575;6,3;60,15
Rioja, La;2014;5,3;25,975;6,175;62,55
Rioja, La;2015;6,2;25,825;5,875;62,075
Rioja, La;2016;6;24,8;4,375;64,8
Rioja, La;2017;4,7;24,1;4,75;66,425
Rioja, La;2018;5,05;25,425;5,25;64,3
Rioja, La;2019;4,85;24,8;6,025;64,3
Rioja, La;2020;6,35;24,75;5,475;63,425
Rioja, La;2021;6,35;27;5,425;61,2
Rioja, La;2022;5,45;28,325;7,3;58,95
Rioja, La;2023;5,25;27,475;8,225;59,05
